,name,salary,link,url
26,Level designer,,https://hh.ru/vacancy/42554496?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
27,Game Designer (Zombie Shop),,https://hh.ru/vacancy/42818048?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
28,Game Designer,,https://hh.ru/vacancy/42562151?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
29,Level Designer,,https://hh.ru/vacancy/42631865?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
30,Level Designer,,https://hh.ru/vacancy/42885922?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
31,Senior Game Designer,от 100 000 руб.,https://hh.ru/vacancy/42805914?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
32,Game Designer,,https://hh.ru/vacancy/42661259?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
33,Геймдизайнер на гипер-казуальные игры/Hyper Casual Game Designer,1 000-2 000 USD,https://hh.ru/vacancy/42465661?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
34,Level Game Designer,,https://hh.ru/vacancy/42514406?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
35,Младший гейм-дизайнер / технический писатель,,https://hh.ru/vacancy/42742904?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
36,Геймдизайнер на гипер-казуальные игры/Hyper Casual Game Designer,1 000-2 000 USD,https://hh.ru/vacancy/42465662?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
37,Technical designer / Технический дизайнер,,https://hh.ru/vacancy/42929136?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
38,Senior Game Designer,до 130 000 руб.,https://hh.ru/vacancy/42432401?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
39,Game Designer,,https://hh.ru/vacancy/41544368?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
